,text,date,relative_time,author_first_name,author_last_name,author_headline,comments,reposts,total_reactions,media_type,is_repost,engagement,target,cleaned_text,hashtags,mentions,text_for_bert,topic_from_bert,part_of_day,len
52,"Do you want access to a database of 6,500 Family Office Investors?

📩 Want the list?
Simply like this post and comment “Send me the list!” below, and we’ll send it your way.

At LvlUp Ventures, we’re deeply committed to empowering founders and fund managers with the resources they need to raise capital and succeed. That’s why we’re doing something big:

🌟We’re sharing our curated list of 6,500 Family Office Investors🌟
This is more than just a database; it’s a game-changing tool for your fundraising journey, built to help you connect with the right people and make meaningful progress.

👉 Why are we doing this?
Because we believe in the power of community and collaboration. Founders and fund managers shouldn’t have to navigate the complex world of fundraising alone. We're here to provide the tools, support, and connections you need to level up.

#LvlUpVentures #FamilyOffices #StartupFunding #FundraisingTools #VentureCapital #CommunityPower #Founders #FundManagers #VC #Startups #VentureCapital #Fundraising #Entrepreneurship",2025-01-14 16:55:51,3 months ago • Edited • Visible to anyone on or off LinkedIn,Adam,Ned,Principal | LvlUp Ventures | Early Stage Investment,3800,29,1696,image,Yes,9352,No,Do you want access to a database of 6500 Family Office Investors Want the list Simply like this post and comment Send me the list below and well send it your way At LvlUp Ventures were deeply committed to empowering founders and fund managers with the resources they need to raise capital and succeed Thats why were doing something big Were sharing our curated list of 6500 Family Office Investors This is more than just a database its a gamechanging tool for your fundraising journey built to help you connect with the right people and make meaningful progress Why are we doing this Because we believe in the power of community and collaboration Founders and fund managers shouldnt have to navigate the complex world of fundraising alone Were here to provide the tools support and connections you need to level up,"['#lvlupventures', '#familyoffices', '#startupfunding', '#fundraisingtools', '#venturecapital', '#communitypower', '#founders', '#fundmanagers', '#vc', '#startups', '#venturecapital', '#fundraising', '#entrepreneurship']",[],want access database family office investors want list simply like post comment send list send way lvlup ventures deeply committed empower founder fund manager resource need raise capital succeed big share curate list family office investors database game change tool fundraising journey build help connect right people meaningful progress believe power community collaboration founder fund manager navigate complex world fundraising provide tool support connection need level lvlupventure familyoffices startupfunde fundraisingtools venturecapital communitypower founder fundmanagers startup venturecapital fundraising entrepreneurship,1,Afternoon,1036
97,"Do you want access to a database of 1,200 Verified Family Office Investors?

📩 Want the list?
Simply like this post and comment “Send me the list!” below, and I'll send it your way.

I recently shared a list of 6,500 family office investors — but due to popular demand, our team took it a step further. I've now verified each investor’s email and activity, refining the list down to 1,200 verified and active family office investors!

👉 Why am I doing this?
Because I believe in the power of community and collaboration. Founders and fund managers shouldn’t have to navigate the complex world of fundraising alone. I'm here to provide the tools, support, and connections you need to level up.

💸 Are you looking for funding?
At LvlUp Ventures,  we work with 15+ funding partners who actively invest in Pre-Seed and Seed rounds. If you’re raising — or thinking about it — apply to our network. One app = exposure to dozens of investors.

🔗 https://lnkd.in/e3tnQh9G

#LvlUpVentures #FamilyOffices #StartupFunding #FundraisingTools #VentureCapital #CommunityPower #Founders #FundManagers #VC #Startups #VentureCapital #Fundraising #Entrepreneurship",2025-04-01 22:14:40,2 weeks ago • Visible to anyone on or off LinkedIn,Adam,Ned,Principal | LvlUp Ventures | Early Stage Investment,2479,12,1251,image,Yes,6233,No,Do you want access to a database of 1200 Verified Family Office Investors Want the list Simply like this post and comment Send me the list below and Ill send it your way I recently shared a list of 6500 family office investors but due to popular demand our team took it a step further Ive now verified each investors email and activity refining the list down to 1200 verified and active family office investors Why am I doing this Because I believe in the power of community and collaboration Founders and fund managers shouldnt have to navigate the complex world of fundraising alone Im here to provide the tools support and connections you need to level up Are you looking for funding At LvlUp Ventures we work with 15 funding partners who actively invest in PreSeed and Seed rounds If youre raising or thinking about it apply to our network One app exposure to dozens of investors,"['#lvlupventures', '#familyoffices', '#startupfunding', '#fundraisingtools', '#venturecapital', '#communitypower', '#founders', '#fundmanagers', '#vc', '#startups', '#venturecapital', '#fundraising', '#entrepreneurship']",[],want access database verified family office investors want list simply like post comment send list send way recently share list family office investor popular demand team take step verify investor email activity refine list verify active family office investor believe power community collaboration founder fund manager navigate complex world fundraising provide tool support connection need level look funding lvlup ventures work fund partner actively invest pre seed seed round raise think apply network app exposure dozen investor https://lnkd.in/e3tnqh9 lvlupventure familyoffices startupfunde fundraisingtools venturecapital communitypower founder fundmanagers startup venturecapital fundraising entrepreneurship,1,Night,1145
68,"Do you want access to a database of 900+ Verified VCs & Angels?

📩 Want the list?
Just like this post and comment “Send me the list!” below — and I’ll send it your way.

My colleague Adam Ned recently shared a list of 1,200 VC and Angel Investors and the response was huge. So we took it up a notch and further verified the list:

 ✅ 900+ active VCs and angel investors
 ✅ Every email 100% verified — zero bounces
 ✅ All investors are currently deploying capital

👉 Why share this?
Because fundraising shouldn’t be a black box. Founders deserve transparency, tools, and connections to win — and I’m committed to supporting that journey.

💸 Raising funding?
LvlUp Ventures partners with 15+ funds investing at Pre-Seed & Seed. Apply once, get exposure to dozens of active investors.
🔗 https://lnkd.in/egEd8PqX

#LvlUpVentures #StartupFunding #AngelInvestors #VentureCapital #Fundraising #SeedFunding #Startups #Founders #VC #FundraisingTools #Entrepreneurship #CommunityPower",2025-04-10 00:12:02,1 week ago • Visible to anyone on or off LinkedIn,Aaron,Golbin,"Managing Partner at LvlUp Ventures | Co-Founder & Co-Chairman, National Artificial Intelligence Association | VC, Startups, Investor | 4x Forbes",1519,23,679,image,No,3763,No,Do you want access to a database of 900 Verified VCs Angels Want the list Just like this post and comment Send me the list below and Ill send it your way My colleague Adam Ned recently shared a list of 1200 VC and Angel Investors and the response was huge So we took it up a notch and further verified the list 900 active VCs and angel investors Every email 100 verified zero bounces All investors are currently deploying capital Why share this Because fundraising shouldnt be a black box Founders deserve transparency tools and connections to win and Im committed to supporting that journey Raising funding LvlUp Ventures partners with 15 funds investing at PreSeed Seed Apply once get exposure to dozens of active investors,"['#lvlupventures', '#startupfunding', '#angelinvestors', '#venturecapital', '#fundraising', '#seedfunding', '#startups', '#founders', '#vc', '#fundraisingtools', '#entrepreneurship', '#communitypower']",[],"want access database verified vcs angels want list like post comment send list send way colleague adam ned recently share list angel investors response huge take notch verify list 

  active vcs angel investor email verified bounce investor currently deploy capital share fundraise black box founder deserve transparency tool connection win committed support journey raising funding lvlup ventures partner fund invest pre seed seed apply exposure dozen active investor https://lnkd.in/eged8pqx lvlupventure startupfunding angelinvestors venturecapital fundraise seedfunding startup founder fundraisingtools entrepreneurship communitypower",1,Night,974
66,"Do you want access to a database of 500+ VCs and Angel Investors focused on Consumer Startups?

📩 Want the list?
Simply like this post and comment “Send me the list!” below, and I'll send it your way via DM!

🌟 At LvlUp Ventures, we’re committed to empowering founders and fund managers with the resources to succeed. That’s why I'm sharing a curated list of 500 consumer-focused investors. This game-changing tool will help you connect with the right people and boost your fundraising efforts.

👉 Why am I doing this?
Because we just launched the LvlUp Ventures CPG Fund in collaboration with Shopline US focused on consumer brands across health, sports, food, beauty and more! We're making $10,000-$25,000 strategic investments, and offering deep portfolio support. If you're a CPG company, you should definitely consider applying for funding!

Apply For Funding Now: https://lnkd.in/e3tnQh9G

Join our Discord for more resources like this and to participate in fun events, including founder & investor poker: https://lnkd.in/eDqhQSSX

#VC #VentureCapital #Investor #Founder #Community #Investorlist #Startup #Entrepreneurship #Startups #CPG #ConsumerTech #Tech #Beauty #Food #SportsTech #Preseed #Discord #D2C #Funding #Investment #Seed #SeriesA #Fundraising",2025-02-18 17:31:10,2 months ago • Visible to anyone on or off LinkedIn,Adam,Ned,Principal | LvlUp Ventures | Early Stage Investment,1292,22,755,image,Yes,3383,No,Do you want access to a database of 500 VCs and Angel Investors focused on Consumer Startups Want the list Simply like this post and comment Send me the list below and Ill send it your way via DM At LvlUp Ventures were committed to empowering founders and fund managers with the resources to succeed Thats why Im sharing a curated list of 500 consumerfocused investors This gamechanging tool will help you connect with the right people and boost your fundraising efforts Why am I doing this Because we just launched the LvlUp Ventures CPG Fund in collaboration with Shopline US focused on consumer brands across health sports food beauty and more Were making 1000025000 strategic investments and offering deep portfolio support If youre a CPG company you should definitely consider applying for funding Apply For Funding Now Join our Discord for more resources like this and to participate in fun events including founder investor poker,"['#vc', '#venturecapital', '#investor', '#founder', '#community', '#investorlist', '#startup', '#entrepreneurship', '#startups', '#cpg', '#consumertech', '#tech', '#beauty', '#food', '#sportstech', '#preseed', '#discord', '#d2c', '#funding', '#investment', '#seed', '#seriesa', '#fundraising']",[],"want access database vcs angel investors focus consumer startup want list simply like post comment send list send way lvlup ventures commit empower founder fund manager resource succeed share curate list consumer focus investor game change tool help connect right people boost fundraising effort launch lvlup ventures cpg fund collaboration shopline focus consumer brand health sport food beauty make 10,000-$25,000 strategic investment offer deep portfolio support cpg company definitely consider apply funding apply funding https://lnkd.in/e3tnqh9 join discord resource like participate fun event include founder investor poker https://lnkd.in/edqhqssx venturecapital investor founder community investorlist startup entrepreneurship startup cpg consumertech tech beauty food sportstech preseed discord d2c funding investment seed seriesa fundraise",1,Evening,1261
82,"🚀 Looking for Pre-Seed or Seed Funding? I can help get you in front of 15+ top VCs who are actively investing.

📌 Like this post & comment your company name + one-liner below! I'll DM you with the next steps!

I know fundraising is tough. That’s why at LvlUp Ventures, we’re making it easier for founders to connect with the right investors—without endless pitch emails or cold outreach.

🌟 At LvlUp Ventures, we work with: 15+ leading VCs including: Acronym Venture Capital, Brilliant Minds, Capchase, Expert Dojo, Greycroft, L'Oréal CVC, Musa Capital, NextUp, LvlUp Labs, Outlander VC, Santa Barbara Venture Partners, Cove Fund & many more.

Let’s get your startup funded! 🚀

#LvlUpVentures #StartupFunding #VentureCapital #Fundraising #Entrepreneurship #Startups #FounderLife #VC #InvestorConnections #Startup #Funding #Investor #Seed #PreSeed",2025-03-05 18:21:33,1 month ago • Visible to anyone on or off LinkedIn,Adam,Ned,Principal | LvlUp Ventures | Early Stage Investment,815,22,664,No media,Yes,2338,No,Looking for PreSeed or Seed Funding I can help get you in front of 15 top VCs who are actively investing Like this post comment your company name oneliner below Ill DM you with the next steps I know fundraising is tough Thats why at LvlUp Ventures were making it easier for founders to connect with the right investorswithout endless pitch emails or cold outreach At LvlUp Ventures we work with 15 leading VCs including Acronym Venture Capital Brilliant Minds Capchase Expert Dojo Greycroft LOral CVC Musa Capital NextUp LvlUp Labs Outlander VC Santa Barbara Venture Partners Cove Fund many more Lets get your startup funded,"['#lvlupventures', '#startupfunding', '#venturecapital', '#fundraising', '#entrepreneurship', '#startups', '#founderlife', '#vc', '#investorconnections', '#startup', '#funding', '#investor', '#seed', '#preseed']",[],look pre seed seed funding help vcs actively invest like post comment company liner step know fundraising tough lvlup ventures make easy founder connect right investor endless pitch email cold outreach lvlup ventures work lead vcs include acronym venture capital brilliant minds capchase expert dojo greycroft l'oréal cvc musa capital nextup lvlup labs outlander santa barbara venture partners cove fund let startup fund lvlupventure startupfunding venturecapital fundraising entrepreneurship startups founderlife investorconnections startup funding investor seed preseed,1,Evening,846
12,"Artisan (YC W24) has raised $11.5M to expand its fleet of AI Employees, which they call Artisans. 

The company has already released Ava, their AI BDR. She finds and enriches leads from dozens of data sources, writes hyper-personalized emails and LinkedIn messages using that data, manages deliverability, and more.

Founded just last year, Artisan has already reached $1 million in annual recurring revenue, with over 120 companies using its platform.

Artisan is on a mission to consolidate and replace legacy tools with one exceptional platform and build AI Employees to manage the software for you. Starting with outbound sales, they have plans to create consolidated software and Artisans for Marketing, Customer Support, Recruitment and more.

Congrats Jaspar, Sam, and team on the round!

https://lnkd.in/gtRPxNXC",2024-10-02 02:19:39,6 months ago • Edited • Visible to anyone on or off LinkedIn,Y,Combinator,"1,267,432 followers",106,44,2010,image,Yes,2310,No,Artisan YC W24 has raised 115M to expand its fleet of AI Employees which they call Artisans The company has already released Ava their AI BDR She finds and enriches leads from dozens of data sources writes hyperpersonalized emails and LinkedIn messages using that data manages deliverability and more Founded just last year Artisan has already reached 1 million in annual recurring revenue with over 120 companies using its platform Artisan is on a mission to consolidate and replace legacy tools with one exceptional platform and build AI Employees to manage the software for you Starting with outbound sales they have plans to create consolidated software and Artisans for Marketing Customer Support Recruitment and more Congrats Jaspar Sam and team on the round,[],[],artisan w24 raise expand fleet employees artisans company release ava bdr find enriche lead dozen datum source write hyper personalized email linkedin message datum manage deliverability found year artisan reach annual recur revenue company platform artisan mission consolidate replace legacy tool exceptional platform build employees manage software start outbound sale plan create consolidated software artisans marketing customer support recruitment congrats jaspar sam team round https://lnkd.in/gtrpxnxc,0,Night,820
4,"Artisan (YC W24) has raised $11.5M to expand its fleet of AI Employees, which they call Artisans. 

The company has already released Ava, their AI BDR. She finds and enriches leads from dozens of data sources, writes hyper-personalized emails and LinkedIn messages using that data, manages deliverability, and more.

Founded just last year, Artisan has already reached $1 million in annual recurring revenue, with over 120 companies using its platform.

Artisan is on a mission to consolidate and replace legacy tools with one exceptional platform and build AI Employees to manage the software for you. Starting with outbound sales, they have plans to create consolidated software and Artisans for Marketing, Customer Support, Recruitment and more.

Congrats Jaspar, Sam, and team on the round!

https://lnkd.in/gtRPxNXC",2024-09-30 19:29:57,6 months ago • Edited • Visible to anyone on or off LinkedIn,Y,Combinator,"1,267,432 followers",106,44,2010,image,Yes,2310,No,Artisan YC W24 has raised 115M to expand its fleet of AI Employees which they call Artisans The company has already released Ava their AI BDR She finds and enriches leads from dozens of data sources writes hyperpersonalized emails and LinkedIn messages using that data manages deliverability and more Founded just last year Artisan has already reached 1 million in annual recurring revenue with over 120 companies using its platform Artisan is on a mission to consolidate and replace legacy tools with one exceptional platform and build AI Employees to manage the software for you Starting with outbound sales they have plans to create consolidated software and Artisans for Marketing Customer Support Recruitment and more Congrats Jaspar Sam and team on the round,[],[],artisan w24 raise expand fleet employees artisans company release ava bdr find enriche lead dozen datum source write hyper personalized email linkedin message datum manage deliverability found year artisan reach annual recur revenue company platform artisan mission consolidate replace legacy tool exceptional platform build employees manage software start outbound sale plan create consolidated software artisans marketing customer support recruitment congrats jaspar sam team round https://lnkd.in/gtrpxnxc,0,Evening,820
30,"I’m excited to announce that we’ve raised a $25M Series A at Artisan to make our AI BDR Ava even more effective and build 2 more AI Employees this year

It was great to sit down with Julie Bort from TechCrunch to talk about what’s next for Artisan. It's refreshing how strong of an understanding Julie and the TC team have of the space. You can read the article here: https://lnkd.in/ei3gecF9

Two years ago, I was building a company I wasn’t passionate about. I was always looking for what would be next, and felt unfulfilled

I knew I wanted to build a truly impactful company, and when I had the idea for Artisan, I knew it could be exactly that. There is a paradigm shift taking place in software which we are betting everything on - the move from unintelligent sprawling SaaS to AI-first, consolidated products

It wasn’t smooth sailing to begin with, I was turned down by over 100 investors when I first started raising (to be fair, we didn’t have a product...)

Then Oliver Jung took a bet on us and gave us our first check for $1.75M

We got into Y Combinator shortly after that, and it’s been an insane journey since then

In the past 12 months, we’ve:
- Built Ava, the AI BDR - our flagship Artisan
- Closed hundreds of customers
- Reached $5M ARR
- Gone viral with 1B+ online impressions on our “Stop Hiring Humans” shock marketing campaign
- Hired an incredible team, including our new CTO Ming Li

And we’re just getting started

We’re extremely excited to have Paul Hudson from Glade Brook Capital Partners LLC joining our board. Oliver introduced me to Paul last August and he, along with the wider Glade Brook team (Isabel Swope, Linda Guo), has been an invaluable resource to us. There’s nobody we’d rather be partnering with at this stage of our growth

We’re also grateful to Y Combinator for their reinvestment and continued support, and especially our group partner Pete Koomen who has been there day and night to help with whatever the issue of the hour is

In our roadmap for 2025, we’re launching:
- Aaron the Inbound SDR Artisan 
- Aria the Meeting Assistant Artisan
- + more to be announced

This round brings our total funding to over $35M. Thank you to every investor who has supported us: HubSpot Ventures, Masha Bucher and Tara Harandi-Zadeh from Day One Ventures, TriplePoint Capital, Fellows Fund, BOND, Sequoia Capital Scout, 10x Founders, Aneel Ranadive from Soma Capital, Olive Technology Ventures, CoreNest Capital, Mento vc, Anu Hariharan, Paul Daversa, David J. Phillips, Teddy Nwachuku, Lawrence Lin Murata, Alumni Ventures and others

We’re hiring for every role (except BDRs 😉) - come join us in SF or remote: https://lnkd.in/ePZACACq 
  
If you want to hire Ava: https://lnkd.in/eCJXPyhp 

(Oh, and our AI CEO decided I should post this one since he keeps on getting banned from LinkedIn for being a bot)",2025-04-09 17:34:02,1 week ago • Visible to anyone on or off LinkedIn,Jaspar,Carmichael-Jack,"Founder & CEO at Artisan 🦄 | Building AI Employees | Hire Ava, Our AI BDR Artisan",144,66,1152,video,No,1569,No,Im excited to announce that weve raised a 25M Series A at Artisan to make our AI BDR Ava even more effective and build 2 more AI Employees this year It was great to sit down with Julie Bort from TechCrunch to talk about whats next for Artisan Its refreshing how strong of an understanding Julie and the TC team have of the space You can read the article here Two years ago I was building a company I wasnt passionate about I was always looking for what would be next and felt unfulfilled I knew I wanted to build a truly impactful company and when I had the idea for Artisan I knew it could be exactly that There is a paradigm shift taking place in software which we are betting everything on the move from unintelligent sprawling SaaS to AIfirst consolidated products It wasnt smooth sailing to begin with I was turned down by over 100 investors when I first started raising to be fair we didnt have a product Then Oliver Jung took a bet on us and gave us our first check for 175M We got into Y Combinator shortly after that and its been an insane journey since then In the past 12 months weve Built Ava the AI BDR our flagship Artisan Closed hundreds of customers Reached 5M ARR Gone viral with 1B online impressions on our Stop Hiring Humans shock marketing campaign Hired an incredible team including our new CTO Ming Li And were just getting started Were extremely excited to have Paul Hudson from Glade Brook Capital Partners LLC joining our board Oliver introduced me to Paul last August and he along with the wider Glade Brook team Isabel Swope Linda Guo has been an invaluable resource to us Theres nobody wed rather be partnering with at this stage of our growth Were also grateful to Y Combinator for their reinvestment and continued support and especially our group partner Pete Koomen who has been there day and night to help with whatever the issue of the hour is In our roadmap for 2025 were launching Aaron the Inbound SDR Artisan Aria the Meeting Assistant Artisan more to be announced This round brings our total funding to over 35M Thank you to every investor who has supported us HubSpot Ventures Masha Bucher and Tara HarandiZadeh from Day One Ventures TriplePoint Capital Fellows Fund BOND Sequoia Capital Scout 10x Founders Aneel Ranadive from Soma Capital Olive Technology Ventures CoreNest Capital Mento vc Anu Hariharan Paul Daversa David J Phillips Teddy Nwachuku Lawrence Lin Murata Alumni Ventures and others Were hiring for every role except BDRs come join us in SF or remote If you want to hire Ava Oh and our AI CEO decided I should post this one since he keeps on getting banned from LinkedIn for being a bot,[],[],"excited announce raise series artisan bdr ava effective build employee year great sit julie bort techcrunch talk artisan refreshing strong understanding julie team space read article https://lnkd.in/ei3gecf9 year ago build company passionate look feel unfulfilled know want build truly impactful company idea artisan know exactly paradigm shift take place software bet unintelligent sprawling saas consolidated product smooth sailing begin turn investor start raise fair product oliver jung take bet give check get combinator shortly insane journey past month build ava bdr flagship artisan close hundred customer reach arr viral 1b+ online impression stop hire human shock marketing campaign hire incredible team include new cto ming getting start extremely excited paul hudson glade brook capital partners llc join board oliver introduce paul august wide glade brook team isabel swope linda guo invaluable resource partner stage growth grateful combinator reinvestment continued support especially group partner pete koomen day night help issue hour roadmap launch aaron inbound sdr artisan aria meeting assistant artisan announce round bring total funding 35m. thank investor support hubspot ventures masha bucher tara harandi zadeh day ventures triplepoint capital fellows fund bond sequoia capital scout 10x founder aneel ranadive soma capital olive technology ventures corenest capital mento anu hariharan paul daversa david phillips teddy nwachuku lawrence lin murata alumni ventures hire role bdrs come join remote https://lnkd.in/epzacacq  
  
 want hire ava https://lnkd.in/ecjxpyhp ceo decide post keep getting ban linkedin bot",0,Evening,2846
34,"We've closed ~$700k of ARR within 2 months as a seed stage startup.

Most startups fail at our stage because they can’t build enough traction to sustain long-term growth.

Why?

Traditional growth channels are dying - startups are burning cash, time, and morale by chasing ghosts.

We've cracked the code by building a lead gen machine that delivers ~50 qualified leads every day.

Here's how we did it:

1. Building a product that people want

It doesn't matter how great your marketing is - if no one needs/wants what you're building, you won't close any deals

We ask the right questions in user interviews & sales calls, and feed those insights directly to our roadmap. Our AI BDR Ava is 1% of what our future product is going to be

2. Creating engaging content on LinkedIn

Founder and thought leadership content is our secret weapon

Sharing our journey & wins is a huge channel for us. It's gotten us 1000s of leads and 10s of investors

Awareness spreads like wildfire (and it’s completely free)

3. Using Ava, our own outbound engine

A strong flow of leads are generated by our AI BDR product, Ava

In-depth personalization is key for getting responses from leads, and we're launching a huge update to take this to the next level in a few weeks - learn more about Ava at https://lnkd.in/eAJ28nnS

4. Tapping into the YC network

We're the leading outbound product in the YC ecosystem, and have YC companies turning to us every day to support building their outbound demand generation engine. If you're an early-stage founder with a B2B product with category-leading potential, apply to YC

5. Exploring a number of GTM channels

We've tested too many GTM channels to list here (SEO, blog content, influencer,  press, events, etc) and have learned a lot about what works/doesn't work for early stage B2B SaaS companies. If you want me to send you a breakdown of our analysis of different channels, leave a comment below

Great content + diversity of GTM channels + amazing product = Startup growth on steroids.

Our approach proves that with the right strategy, seed-stage startups can achieve remarkable results in a short time.",2024-07-30 20:39:02,8 months ago • Edited • Visible to anyone on or off LinkedIn,Jaspar,Carmichael-Jack,"Founder & CEO at Artisan 🦄 | Building AI Employees | Hire Ava, Our AI BDR Artisan",298,14,832,image,No,1456,No,Weve closed 700k of ARR within 2 months as a seed stage startup Most startups fail at our stage because they cant build enough traction to sustain longterm growth Why Traditional growth channels are dying startups are burning cash time and morale by chasing ghosts Weve cracked the code by building a lead gen machine that delivers 50 qualified leads every day Heres how we did it 1 Building a product that people want It doesnt matter how great your marketing is if no one needswants what youre building you wont close any deals We ask the right questions in user interviews sales calls and feed those insights directly to our roadmap Our AI BDR Ava is 1 of what our future product is going to be 2 Creating engaging content on LinkedIn Founder and thought leadership content is our secret weapon Sharing our journey wins is a huge channel for us Its gotten us 1000s of leads and 10s of investors Awareness spreads like wildfire and its completely free 3 Using Ava our own outbound engine A strong flow of leads are generated by our AI BDR product Ava Indepth personalization is key for getting responses from leads and were launching a huge update to take this to the next level in a few weeks learn more about Ava at 4 Tapping into the YC network Were the leading outbound product in the YC ecosystem and have YC companies turning to us every day to support building their outbound demand generation engine If youre an earlystage founder with a B2B product with categoryleading potential apply to YC 5 Exploring a number of GTM channels Weve tested too many GTM channels to list here SEO blog content influencer press events etc and have learned a lot about what worksdoesnt work for early stage B2B SaaS companies If you want me to send you a breakdown of our analysis of different channels leave a comment below Great content diversity of GTM channels amazing product Startup growth on steroids Our approach proves that with the right strategy seedstage startups can achieve remarkable results in a short time,[],[],close ~$700k arr month seed stage startup startup fail stage build traction sustain long term growth traditional growth channel die startup burn cash time morale chase ghost crack code build lead gen machine deliver qualified lead day build product people want matter great marketing need want build will close deal ask right question user interview sale call feed insight directly roadmap bdr ava future product create engage content linkedin founder think leadership content secret weapon share journey win huge channel get 1000 lead investor awareness spread like wildfire completely free ava outbound engine strong flow lead generate bdr product ava depth personalization key get response lead launch huge update level week learn ava https://lnkd.in/eaj28nns tap network lead outbound product ecosystem company turn day support build outbound demand generation engine early stage founder b2b product category lead potential apply explore number gtm channel test gtm channel list seo blog content influencer press event etc learn lot work doesn't work early stage b2b saas company want send breakdown analysis different channel leave comment great content diversity gtm channel amazing product startup growth steroid approach prove right strategy seed stage startup achieve remarkable result short time,0,Evening,2139
14,"""How I spend 10 minutes a day, and generated 5 million impressions on LinkedIn in the past 5 months.""

That's what my mentor told us during our weekly community call last week. 

Before he showed us the process.

A process on how he generates lead magnets and posts that go viral.

All in less than 10 minutes.

During the call, he shared a tool that also drafts it for us.

And now you, too, can get it.

Why does it matter? Last week, I had +70.000 Impressions, which helped me gain visibility as a person on LinkedIn and share my thoughts about how AI can be used to drive business transformation and increase employee satisfaction.

Yes, it is value-driven content, branding-building, and automation - to cut through the noise and craft your positioning.

Such tools are helpful in a) saving valuable time and b) sparking discussion among people interested in the matter. 

Use the tool to:
✅ Build a detailed profile of your ideal customer.
✅ Develop a lead magnet designed to solve their specific pain points.
✅ Craft LinkedIn posts that promote the lead magnet and drive engagement. 

This system helped many of my community fellows, and myself achieve thousands of views and leads.

𝐁𝐞𝐬𝐭 𝐨𝐟 𝐚𝐥𝐥, 𝐢𝐭’𝐬 𝐟𝐮𝐥𝐥𝐲 𝐚𝐮𝐭𝐨𝐦𝐚𝐭𝐞𝐝 - 𝐚𝐧𝐝 𝐲𝐨𝐮 𝐜𝐚𝐧 𝐮𝐬𝐞 𝐢𝐭 𝐭𝐨𝐨, 𝐅𝐎𝐑 𝐅𝐑𝐄𝐄

Want access?
1️⃣  Follow & connect with me.
2️⃣ Comment ""Generator"" in the comments below.

(We need to be connected for me to send you a link to access on DM)",2025-04-08 16:02:14,1 week ago • Visible to anyone on or off LinkedIn,Robert,Schöne,Co-Founder at aidocr • Strategy • Innovation • Transformation,604,3,92,image,No,1306,No,How I spend 10 minutes a day and generated 5 million impressions on LinkedIn in the past 5 months Thats what my mentor told us during our weekly community call last week Before he showed us the process A process on how he generates lead magnets and posts that go viral All in less than 10 minutes During the call he shared a tool that also drafts it for us And now you too can get it Why does it matter Last week I had 70000 Impressions which helped me gain visibility as a person on LinkedIn and share my thoughts about how AI can be used to drive business transformation and increase employee satisfaction Yes it is valuedriven content brandingbuilding and automation to cut through the noise and craft your positioning Such tools are helpful in a saving valuable time and b sparking discussion among people interested in the matter Use the tool to Build a detailed profile of your ideal customer Develop a lead magnet designed to solve their specific pain points Craft LinkedIn posts that promote the lead magnet and drive engagement This system helped many of my community fellows and myself achieve thousands of views and leads Want access 1 Follow connect with me 2 Comment Generator in the comments below We need to be connected for me to send you a link to access on DM,[],[],spend minute day generate impression linkedin past month mentor tell weekly community week show process process generate lead magnet post viral minute share tool draft matter week impression help gain visibility person linkedin share thought drive business transformation increase employee satisfaction yes value drive content branding building automation cut noise craft positioning tool helpful save valuable time spark discussion people interested matter use tool build detailed profile ideal customer develop lead magnet design solve specific pain point craft linkedin post promote lead magnet drive engagement system help community fellow achieve thousand view lead 𝐁𝐞𝐬𝐭 𝐚𝐥𝐥 𝐢𝐭’𝐬 𝐟𝐮𝐥𝐥𝐲 𝐚𝐮𝐭𝐨𝐦𝐚𝐭𝐞𝐝 𝐚𝐧𝐝 𝐲𝐨𝐮 𝐜𝐚𝐧 𝐮𝐬𝐞 𝐭𝐨𝐨 𝐅𝐎𝐑 𝐅𝐑𝐄𝐄 want access 1️⃣ follow connect 2️⃣ comment generator comment need connect send link access,0,Afternoon,1420
